user_id,product_type_id,isbn13,name,author,author_details,book_edition,cat_id,price,discount,delivery_charge,quantity,no_of_pages,weight,book_language,image,publisher,publishing_year,publishing_role_id,currency_code,country_code,description,book_binding,status,slug,created_at
15,1,9780198777755,Multiple Stable States In Natural Ecosystems,Peter Petraitis,N/A,07-01-16,93,3624,20,0,10,202,316g,English,9780198777755.jpg,OUP Oxford ,07-01-16,2012,INR,IND,,Paperback,1,multiple-stable-states-in-natural-ecosystems,2021-12-19 17:15:10
15,1,9780198778189,Stroke 2E Facts P,"Lindley, Richard I",N/A,16-03-17,114,1761,20,,10,144,160g,English,9780198778189.jpg,OUP Oxford ,16-03-17,2012,INR,IND,,Paperback,1,stroke-2e-facts-p,2021-12-19 17:15:10
15,1,9780198778257,International Economic Law & Gov C,"Chaisse,Lin",N/A,04-08-16,93,16110,20,,10,624,1kg 80g,English,9780198778257.jpg,OUP Oxford ,04-08-16,2012,INR,IND,,Hardcover,1,international-economic-law-gov-c,2021-12-19 17:15:10
15,1,9780198778509,The Oxford Handbook Of Refugee And Forced Migration Studies,Edited By Fiddian-Qasmiyeh,N/A,30-06-16,94,3021,20,,10,784,1kg 310g,English,9780198778509.jpg,OUP Oxford ,30-06-16,2012,INR,IND,,Paperback,1,the-oxford-handbook-of-refugee-and-forced-migration-studies,2021-12-19 17:15:10
15,1,9780198778776,Leveling The Playing Field,"Bruszt, Laszlo; Mcdermott, Gerald A.",N/A,03-03-16,93,3523,20,,10,384,358g,English,9780198778776.jpg,OUP Oxford ,03-03-16,2012,INR,IND,,Paperback,1,leveling-the-playing-field,2021-12-19 17:15:10
15,1,9780198778905,Bridging The Gender Gap,"Roseberry, Lynn; Roos, Johan",N/A,17-03-16,93,2113,20,,10,272,410g,English,9780198778905.jpg,OUP Oxford ,17-03-16,2012,INR,IND,,Paperback,1,bridging-the-gender-gap,2021-12-19 17:15:10
15,1,9780198782896,The Future Of Cross-Border Insolvency,Mevorach,N/A,08-03-18,93,8861,20,,10,316,638g,English,9780198782896.jpg,OUP Oxford ,08-03-18,2012,INR,IND,,Hardcover,1,the-future-of-cross-border-insolvency,2021-12-19 17:15:10
15,1,9780198783244,Who Cares About Particle Physics?,Pauline Gagnon,N/A,21-07-16,93,2818,25,0,10,272,496g,English,9780198783244.jpg,OUP Oxford ,21-07-16,2012,INR,IND,,Hardcover,1,who-cares-about-particle-physics,2021-12-19 17:15:10
15,1,9780198783763,Business Model Innovation,Edited By  J Foss & Saebi,N/A,08-09-16,93,3322,20,,10,336,494g,English,9780198783763.jpg,OUP Oxford ,08-09-16,2012,INR,IND,,Paperback,1,business-model-innovation,2021-12-19 17:15:10
15,1,9780198783800,The Structure Of Complex Networks,Estrada,N/A,09-06-16,93,3372,20,,10,478,874g,English,9780198783800.jpg,OUP Oxford ,09-06-16,2012,INR,IND,,Paperback,1,the-structure-of-complex-networks,2021-12-19 17:15:10
15,1,9780198784081,Treatment Of Prim Glomerulone 3E Ocns P,"Ponticelli,Glassock",N/A,13-06-19,94,6746,20,,10,640,954g,English,9780198784081.jpg,OUP Oxford ,13-06-19,2012,INR,IND,,Paperback,1,treatment-of-prim-glomerulone-3e-ocns-p,2021-12-19 17:15:10
15,1,9780198784272,Paediatric Nephrology 3E P,"Rees, Lesley",N/A,15-02-19,94,4530,20,,10,736,366g,English,9780198784272.jpg,OUP Oxford ,15-02-19,2012,INR,IND,,Paperback,1,paediatric-nephrology-3e-p,2021-12-19 17:15:10
